;month;news_count
0;2022-01-01;312
1;2022-02-01;267
2;2022-03-01;331
3;2022-04-01;372
4;2022-05-01;566
5;2022-06-01;729
6;2022-07-01;722
7;2022-08-01;649
8;2022-09-01;777
9;2022-10-01;682
10;2022-11-01;733
11;2022-12-01;524
12;2023-01-01;482
13;2023-02-01;496
14;2023-03-01;518
15;2023-04-01;402
16;2023-05-01;479
17;2023-06-01;420
18;2023-07-01;389
19;2023-08-01;383
20;2023-09-01;358
21;2023-10-01;368
22;2023-11-01;296
23;2023-12-01;268
24;2024-01-01;260
25;2024-02-01;259
26;2024-03-01;240
27;2024-04-01;255
28;2024-05-01;239
29;2024-06-01;256
30;2024-07-01;244
31;2024-08-01;267
32;2024-09-01;229
33;2024-10-01;247
34;2024-11-01;270
35;2024-12-01;247